t,H,L,R
58.1000,16.7685,43.3298,10.8198
58.2000,15.5180,43.3520,11.6823
58.3000,14.3620,43.3026,12.6132
58.4000,13.2952,43.1845,13.6159
58.5000,12.3119,43.0001,14.6940
58.6000,11.4068,42.7523,15.8505
58.7000,10.5746,42.4436,17.0885
58.8000,9.8101,42.0766,18.4107
58.9000,9.1084,41.6538,19.8197
59.0000,8.4649,41.1776,21.3172
59.1000,7.8749,40.6504,22.9049
59.2000,7.3343,40.0745,24.5837
59.3000,6.8392,39.4523,26.3539
59.4000,6.3860,38.7862,28.2153
59.5000,5.9710,38.0784,30.1666
59.6000,5.5913,37.3315,32.2059
59.7000,5.2439,36.5478,34.3306
59.8000,4.9260,35.7300,36.5368
59.9000,4.6351,34.8807,38.8200
60.0000,4.3691,34.0026,41.1746
60.1000,4.1257,33.0987,43.5944
60.2000,3.9031,32.1718,46.0718
60.3000,3.6994,31.2252,48.5990
60.4000,3.5131,30.2619,51.1668
60.5000,3.3427,29.2853,53.7660
60.6000,3.1869,28.2986,56.3863
60.7000,3.0443,27.3051,59.0173
60.8000,2.9140,26.3083,61.6482
60.9000,2.7948,25.3115,64.2681
61.0000,2.6858,24.3179,66.8661
61.1000,2.5862,23.3308,69.4315
61.2000,2.4953,22.3531,71.9536
61.3000,2.4122,21.3878,74.4227
61.4000,2.3364,20.4377,76.8291
61.5000,2.2672,19.5052,79.1641
61.6000,2.2041,18.5926,81.4197
61.7000,2.1467,17.7021,83.5887
61.8000,2.0945,16.8355,85.6648
61.9000,2.0470,15.9942,87.6426
62.0000,2.0039,15.1797,89.5177
62.1000,1.9649,14.3929,91.2867
62.2000,1.9296,13.6347,92.9468
62.3000,1.8978,12.9057,94.4965
62.4000,1.8691,12.2061,95.9349
62.5000,1.8435,11.5362,97.2619
62.6000,1.8205,10.8959,98.4781
62.7000,1.8001,10.2849,99.5849
62.8000,1.7821,9.7028,100.5840
62.9000,1.7662,9.1492,101.4778
63.0000,1.7524,8.6235,102.2692
63.1000,1.7405,8.1248,102.9612
63.2000,1.7303,7.6525,103.5573
63.3000,1.7218,7.2055,104.0612
63.4000,1.7148,6.7830,104.4767
63.5000,1.7092,6.3841,104.8077
63.6000,1.7050,6.0077,105.0583
63.7000,1.7020,5.6529,105.2325
63.8000,1.7002,5.3187,105.3345
63.9000,1.6996,5.0041,105.3681
64.0000,1.6999,4.7081,105.3375
64.1000,1.7012,4.4297,105.2464
64.2000,1.7035,4.1680,105.0986
64.3000,1.7066,3.9222,104.8978
64.4000,1.7105,3.6912,104.6475
64.5000,1.7152,3.4744,104.3511
64.6000,1.7207,3.2709,104.0118
64.7000,1.7268,3.0798,103.6327
64.8000,1.7336,2.9005,103.2168
64.9000,1.7411,2.7322,102.7668
65.0000,1.7491,2.5744,102.2854
65.1000,1.7577,2.4262,101.7752
65.2000,1.7669,2.2872,101.2384
65.3000,1.7766,2.1568,100.6774
65.4000,1.7868,2.0344,100.0941
65.5000,1.7975,1.9196,99.4906
65.6000,1.8086,1.8118,98.8688
65.7000,1.8202,1.7106,98.2304
65.8000,1.8322,1.6157,97.5769
65.9000,1.8447,1.5265,96.9099
66.0000,1.8575,1.4427,96.2309
66.1000,1.8707,1.3640,95.5411
66.2000,1.8844,1.2901,94.8417
66.3000,1.8983,1.2206,94.1340
66.4000,1.9127,1.1553,93.4190
66.5000,1.9274,1.0939,92.6977
66.6000,1.9424,1.0362,91.9710
66.7000,1.9578,0.9819,91.2397
66.8000,1.9735,0.9307,90.5048
66.9000,1.9895,0.8826,89.7668
67.0000,2.0059,0.8373,89.0266
67.1000,2.0225,0.7946,88.2847
67.2000,2.0395,0.7544,87.5417
67.3000,2.0568,0.7165,86.7982
67.4000,2.0743,0.6808,86.0547
67.5000,2.0922,0.6471,85.3116
67.6000,2.1103,0.6153,84.5694
67.7000,2.1287,0.5853,83.8285
67.8000,2.1474,0.5570,83.0892
67.9000,2.1664,0.5303,82.3519
68.0000,2.1857,0.5050,81.6169
68.1000,2.2053,0.4811,80.8845
68.2000,2.2251,0.4586,80.1550
68.3000,2.2452,0.4372,79.4285
68.4000,2.2656,0.4170,78.7054
68.5000,2.2862,0.3979,77.9858
68.6000,2.3071,0.3798,77.2699
68.7000,2.3283,0.3627,76.5578
68.8000,2.3498,0.3465,75.8498
68.9000,2.3715,0.3311,75.1460
69.0000,2.3935,0.3165,74.4465
69.1000,2.4158,0.3027,73.7514
69.2000,2.4383,0.2896,73.0608
69.3000,2.4611,0.2772,72.3748
69.4000,2.4842,0.2653,71.6936
69.5000,2.5075,0.2541,71.0171
69.6000,2.5312,0.2435,70.3454
